accumulation.total_token_count: shape=(), dtype=int64 | dimensions: scalar
microbatch_1_long.block_1.q: shape=(16, 4, 64, 16), dtype=float32 | dimensions: batch, attention head, query position, head channel
microbatch_1_long.block_1.k: shape=(16, 4, 64, 16), dtype=float32 | dimensions: batch, attention head, key position, head channel
microbatch_1_long.block_1.v: shape=(16, 4, 64, 16), dtype=float32 | dimensions: batch, attention head, value position, head channel
microbatch_1_long.block_1.attention_scores: shape=(16, 4, 64, 64), dtype=float32 | dimensions: batch, attention head, query position, key position
microbatch_1_long.block_1.causal_mask: shape=(1, 1, 64, 64), dtype=bool | dimensions: broadcast batch, broadcast head, query position, key position
microbatch_1_long.block_1.masked_scores: shape=(16, 4, 64, 64), dtype=float32 | dimensions: batch, attention head, query position, key position
microbatch_1_long.block_1.attention_probabilities: shape=(16, 4, 64, 64), dtype=float32 | dimensions: batch, attention head, query position, key position
microbatch_1_long.block_1.attended_values: shape=(16, 4, 64, 16), dtype=float32 | dimensions: batch, attention head, query position, head channel
microbatch_1_long.block_1.merged_heads: shape=(16, 64, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_1_long.block_1.attention_output: shape=(16, 64, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_1_long.block_1.residual_after_attention: shape=(16, 64, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_1_long.block_1.ln2: shape=(16, 64, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_1_long.block_1.mlp_up: shape=(16, 64, 256), dtype=float32 | dimensions: batch, sequence, expanded MLP channel
microbatch_1_long.block_1.gelu: shape=(16, 64, 256), dtype=float32 | dimensions: batch, sequence, expanded MLP channel
microbatch_1_long.block_1.mlp_down: shape=(16, 64, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_1_long.block_1.residual_after_mlp: shape=(16, 64, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_1_long.final_norm: shape=(16, 64, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_1_long.logits: shape=(16, 64, 256), dtype=float32 | dimensions: batch, sequence, byte vocabulary
microbatch_1_long.flat_logits: shape=(1024, 256), dtype=float32 | dimensions: batch-times-sequence, byte vocabulary
microbatch_1_long.flat_targets: shape=(1024,), dtype=int64 | dimensions: batch-times-sequence
microbatch_1_long.per_token_cross_entropy: shape=(1024,), dtype=float32 | dimensions: batch-times-sequence
microbatch_1_long.loss_sum: shape=(), dtype=float32 | dimensions: scalar
microbatch_1_long.valid_token_count: shape=(), dtype=int64 | dimensions: scalar
microbatch_1_long.mean_loss: shape=(), dtype=float32 | dimensions: scalar
microbatch_1_long.token_weighted_loss_contribution: shape=(), dtype=float32 | dimensions: scalar
accumulation.gradient_squared_sum: shape=(), dtype=float32 | dimensions: scalar
accumulation.global_gradient_l2_norm: shape=(), dtype=float32 | dimensions: scalar
parameter.token_embedding.weight: shape=(256, 64), dtype=float32 | dimensions: byte vocabulary, model channel
gradient.token_embedding.weight: shape=(256, 64), dtype=float32 | dimensions: byte vocabulary, model channel
optimizer.step.token_embedding.weight: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.token_embedding.weight: shape=(256, 64), dtype=float32 | dimensions: byte vocabulary, model channel
optimizer.exp_avg_sq.token_embedding.weight: shape=(256, 64), dtype=float32 | dimensions: byte vocabulary, model channel
parameter.position_embedding.weight: shape=(64, 64), dtype=float32 | dimensions: maximum sequence position, model channel
gradient.position_embedding.weight: shape=(64, 64), dtype=float32 | dimensions: maximum sequence position, model channel
optimizer.step.position_embedding.weight: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.position_embedding.weight: shape=(64, 64), dtype=float32 | dimensions: maximum sequence position, model channel
optimizer.exp_avg_sq.position_embedding.weight: shape=(64, 64), dtype=float32 | dimensions: maximum sequence position, model channel
parameter.blocks.0.ln1.weight: shape=(64,), dtype=float32 | dimensions: model channel
gradient.blocks.0.ln1.weight: shape=(64,), dtype=float32 | dimensions: model channel
optimizer.step.blocks.0.ln1.weight: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.0.ln1.weight: shape=(64,), dtype=float32 | dimensions: model channel
optimizer.exp_avg_sq.blocks.0.ln1.weight: shape=(64,), dtype=float32 | dimensions: model channel
parameter.blocks.0.ln1.bias: shape=(64,), dtype=float32 | dimensions: output channel
gradient.blocks.0.ln1.bias: shape=(64,), dtype=float32 | dimensions: output channel
optimizer.step.blocks.0.ln1.bias: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.0.ln1.bias: shape=(64,), dtype=float32 | dimensions: output channel
optimizer.exp_avg_sq.blocks.0.ln1.bias: shape=(64,), dtype=float32 | dimensions: output channel
parameter.blocks.0.qkv.weight: shape=(192, 64), dtype=float32 | dimensions: output channel, input channel
gradient.blocks.0.qkv.weight: shape=(192, 64), dtype=float32 | dimensions: output channel, input channel
optimizer.step.blocks.0.qkv.weight: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.0.qkv.weight: shape=(192, 64), dtype=float32 | dimensions: output channel, input channel
optimizer.exp_avg_sq.blocks.0.qkv.weight: shape=(192, 64), dtype=float32 | dimensions: output channel, input channel
parameter.blocks.0.qkv.bias: shape=(192,), dtype=float32 | dimensions: output channel
gradient.blocks.0.qkv.bias: shape=(192,), dtype=float32 | dimensions: output channel
