step,correct_batch_loss,broken_batch_objective,correct_eval_loss,broken_eval_loss,correct_grad_norm,broken_grad_norm,correct_perplexity,broken_perplexity
19,3.423471901151869,3.4426867961883545,3.2313030384205006,3.2546964574743202,0.3841169087829888,0.4287338076945414,25.312618805857923,25.911748022709492
20,3.2972030639648438,3.405343532562256,3.2094367345174155,3.2308102360478155,0.3699498465092641,0.42614560767464393,24.765132950695087,25.30014776038431
21,3.326647467083401,3.4353795051574707,3.1909772378427013,3.2120994285300926,0.4068147145567206,0.4634982117275814,24.312174614959286,24.831162791544706
22,3.419306675593058,3.568535089492798,3.1758783834951894,3.1975537759286388,0.2479049171273434,0.3702061931109599,23.947846025202537,24.4725914728743
23,3.2283191680908203,3.2824172973632812,3.1617856908727577,3.1840569531476057,0.3800060395965468,0.5058462369530939,23.612723329146753,24.144508263642027
24,3.208374606238471,3.2046353816986084,3.1484702428181968,3.1717088487413196,0.3583584796968349,0.43386629491418677,23.300393359664813,23.848202526793585
25,3.206673357221815,3.1499571800231934,3.1354492328785084,3.159144507514106,0.31096011084385433,0.47078273622295314,22.998965413104862,23.550440084178966
26,3.1808876196543374,3.216337203979492,3.1224780965734413,3.146698421902127,0.27314433321845055,0.46768816845703476,22.702569151729502,23.25914578780366
27,3.2841266526116266,3.342430353164673,3.108658508018211,3.1345360014173718,0.32208146121668263,0.4041913581299467,22.39098691490516,22.9779716218704
28,3.05662292904324,3.1407757997512817,3.09347371701841,3.122237028899016,0.4079676775003257,0.5488004304136251,22.053552874721728,22.697096955791896
29,3.1827316284179688,3.326195240020752,3.0768823976869935,3.109357480649595,0.29715953542907186,0.4010655924443169,21.690673980548876,22.406643072923917
30,3.0905561447143555,3.19559109210968,3.059329704002098,3.096542994181315,0.30788387061770706,0.39101834520123563,21.31326617594663,22.121345324610484
31,3.170362207624647,3.188973546028137,3.042040471677427,3.0834215658682362,0.3000178371530864,0.4213291982067324,20.947943341186996,21.832977712606752
32,3.2871966891818576,3.2380365133285522,3.024743645279496,3.0693817845097295,0.3488228651207659,0.4413378670985147,20.588726017512162,21.528589252784776
33,3.1443958812289767,3.142585277557373,3.0077939210114657,3.054418917055483,0.39397807100915677,0.39788866577025594,20.242693649453017,21.208857839991104
34,3.0856908162434897,3.2303420305252075,2.9919680842646845,3.0391816386470087,0.4422542899006194,0.4884121681180424,19.924857727806927,20.888142190325745
35,3.1718780199686685,3.1724261045455933,2.979059996428313,3.0244730137012623,0.35196164043595357,0.364304485859191,19.66931872221631,20.583154812002295
36,3.087658829159207,3.196934223175049,2.968884856612594,3.010258921870479,0.44559162159341925,0.5627382356743473,19.470195425819377,20.292653456874497
37,3.14692399236891,3.1899094581604004,2.963501117847584,2.998641084741663,0.3675478931930704,0.5180423022675167,19.365654642583014,20.058260917678332
38,2.9850627051459417,2.9884876012802124,2.958693186442057,2.98939577738444,0.3090123584677088,0.683914414536406,19.272769375364536,19.873670741728372
39,3.0632786485883923,3.134360194206238,2.952354148582176,2.983446156537091,0.4758599214702569,0.444927668345364,19.150984966427878,19.755780983406755
40,3.0227349599202475,3.0248953104019165,2.9440718756781683,2.98044165858516,0.3239530945729443,0.3445256217617932,18.993026313833404,19.69651385846479
