condition,seed,step,layer,learning_rate,lr_multiplier,warmup_active,gradient_norm,update_norm,weight_norm,update_to_weight_ratio,peak_lr_counterfactual_ratio
warmup,20261122,4,output,2.9999999999999997e-05,0.2,True,1.9124120133107458,0.0010330069384170346,3.1789559562774263,0.000324951635890763,0.0016247581794538149
warmup,20261122,5,input,3.75e-05,0.25,True,0.7833830748915025,0.0021350682485681487,16.074340738894097,0.00013282462299695158,0.0005312984919878063
warmup,20261122,5,hidden_norm,3.75e-05,0.25,True,0.12268108939725848,0.0005308569332189612,16.000033770750097,3.317848829728277e-05,0.00013271395318913107
warmup,20261122,5,hidden,3.75e-05,0.25,True,1.4967039237793964,0.0059628446116146375,15.987228106333127,0.00037297551345079864,0.0014919020538031946
warmup,20261122,5,output_norm,3.75e-05,0.25,True,0.16330279312839305,0.0005593215251733447,15.999581005933853,3.4958510786370346e-05,0.00013983404314548139
warmup,20261122,5,output,3.75e-05,0.25,True,1.9621646163904944,0.0012603687189931894,3.178768767788382,0.0003964958797144867,0.0015859835188579469
warmup,20261122,6,input,4.4999999999999996e-05,0.3,True,0.7338684475272166,0.0024873406276996928,16.07433596526288,0.00015473986813980436,0.0005157995604660146
warmup,20261122,6,hidden_norm,4.4999999999999996e-05,0.3,True,0.11996430822812809,0.0006332197268961729,16.00005941221758,3.957608597457137e-05,0.00013192028658190458
warmup,20261122,6,hidden,4.4999999999999996e-05,0.3,True,1.3473266568188955,0.006929573559845435,15.987276968505654,0.000433443016812459,0.00144481005604153
warmup,20261122,6,output_norm,4.4999999999999996e-05,0.3,True,0.17015097373755275,0.0006727476379317744,15.999374564802206,4.204837102893911e-05,0.00014016123676313037
warmup,20261122,6,output,4.4999999999999996e-05,0.3,True,1.8487667562555528,0.0014801882406037194,3.1785366762643648,0.0004656822907399447,0.0015522743024664824
warmup,20261122,7,input,5.2499999999999995e-05,0.35,True,0.7756106534905661,0.0028468072833886943,16.07433768750719,0.00017710261777075916,0.0005060074793450262
warmup,20261122,7,hidden_norm,5.2499999999999995e-05,0.35,True,0.1355429743531939,0.0007204992494354471,16.000090182013324,4.503094927836121e-05,0.00012865985508103204
warmup,20261122,7,hidden,5.2499999999999995e-05,0.35,True,1.4754631497958466,0.007963124160829643,15.987329963957722,0.0004980896859439275,0.0014231133884112215
warmup,20261122,7,output_norm,5.2499999999999995e-05,0.35,True,0.17925752592596012,0.0007872200123411368,15.999125512118916,4.920394003690004e-05,0.0001405826858197144
warmup,20261122,7,output,5.2499999999999995e-05,0.35,True,1.9675911202244523,0.0016988860484896463,3.1782609765855745,0.0005345332120318106,0.0015272377486623163
warmup,20261122,8,input,5.9999999999999995e-05,0.4,True,0.7447831377953967,0.003189538945285508,16.07434109679335,0.00019842424184477364,0.0004960606046119341
warmup,20261122,8,hidden_norm,5.9999999999999995e-05,0.4,True,0.12129615311656895,0.0008024656245178496,16.00012372839656,5.015371369245456e-05,0.00012538428423113638
warmup,20261122,8,hidden,5.9999999999999995e-05,0.4,True,1.3879024292746023,0.008909127164802596,15.987383907346796,0.0005572598504192122,0.0013931496260480305
warmup,20261122,8,output_norm,5.9999999999999995e-05,0.4,True,0.17217187925688776,0.0009054855288643094,15.998837349594094,5.6596958208796493e-05,0.00014149239552199122
