condition,step,layer,seeds,mean_update_to_weight_ratio,std_update_to_weight_ratio,mean_gradient_norm,std_gradient_norm
no_warmup,29,output_norm,5,0.00010891205896573167,6.730367983446713e-06,0.1229408840886681,0.009251780468866294
no_warmup,30,hidden,5,0.0011858548630483254,1.1958271401550888e-05,1.2512801226619457,0.04191573795518083
no_warmup,30,hidden_norm,5,0.00010636046698524768,5.660557452613362e-06,0.11299833958111169,0.010719350301803524
no_warmup,30,input,5,0.0004265761579881156,8.203674597482522e-06,0.6733004295015539,0.04060572561674835
no_warmup,30,output,5,0.0012967815311556083,2.2903349011019576e-05,1.6128182342320745,0.0723383840900556
no_warmup,30,output_norm,5,0.00010897552825954846,6.762113578768558e-06,0.1422424483481469,0.022284808866180807
no_warmup,31,hidden,5,0.001177241315163598,1.3339742658617895e-05,1.2378540972759629,0.03143963268320981
no_warmup,31,hidden_norm,5,0.00010553281735295606,5.368582431609616e-06,0.11251285441591338,0.006830289309074023
no_warmup,31,input,5,0.00042403744968122926,7.791859463851587e-06,0.6722805042147719,0.028871507731180537
no_warmup,31,output,5,0.0012899745929963956,2.11005339401472e-05,1.6148883999660726,0.025632127425926337
no_warmup,31,output_norm,5,0.00010729914939483425,6.712439252686467e-06,0.13918711425368474,0.015473555929847995
no_warmup,32,hidden,5,0.0011697449899523888,1.2321132727281834e-05,1.233974162456387,0.041367400559334966
no_warmup,32,hidden_norm,5,0.00010400024887217427,5.644230990909302e-06,0.10349951458683848,0.00303050721368217
no_warmup,32,input,5,0.0004209610111695483,7.749720696347784e-06,0.6646424865411728,0.03374110005126647
no_warmup,32,output,5,0.0012804608800427869,2.165477616440885e-05,1.6065889262003228,0.03618383950081874
no_warmup,32,output_norm,5,0.00010492629291867744,7.208607805163542e-06,0.1227179908284107,0.005356253850566518
no_warmup,33,hidden,5,0.001165994584275586,1.5019894964927914e-05,1.2534800608348955,0.0732811784180124
no_warmup,33,hidden_norm,5,0.00010384185635966836,4.531676040061053e-06,0.10861097178788162,0.018892000396565824
no_warmup,33,input,5,0.0004203227084772461,8.91994473636045e-06,0.6783687725883694,0.05358497295471722
no_warmup,33,output,5,0.0012732793106344314,1.8244224803762282e-05,1.62730659302519,0.0786606914464119
no_warmup,33,output_norm,5,0.00010425566148575202,5.88104513158145e-06,0.1326975949142991,0.02891588697051551
no_warmup,34,hidden,5,0.0011612662255130822,1.2418444943714877e-05,1.2545182722164752,0.052181260664752684
no_warmup,34,hidden_norm,5,0.00010355055994009576,4.334293019627683e-06,0.11552545199129097,0.007641606266047094
no_warmup,34,input,5,0.00041867674557969324,1.012624341766776e-05,0.6809373567376025,0.0371687614345377
no_warmup,34,output,5,0.0012702882097580799,1.867535221069974e-05,1.6359475272814774,0.013936349365587417
no_warmup,34,output_norm,5,0.00010362763145447702,5.343435575758248e-06,0.14522068467424817,0.009903479086537508
no_warmup,35,hidden,5,0.0011565897678091051,1.2875758757434447e-05,1.215638927298929,0.03754018453096975
no_warmup,35,hidden_norm,5,0.00010323790244220576,4.23733176164705e-06,0.10510498728924744,0.006646325800397829
no_warmup,35,input,5,0.0004175313379598174,9.905410778746771e-06,0.6629020328102893,0.031937916500016914
no_warmup,35,output,5,0.0012637336093353317,2.0215861803528113e-05,1.5783570470084336,0.023862524060862575
no_warmup,35,output_norm,5,0.00010326619130420923,4.738887837617315e-06,0.12702716634097982,0.010454849988189626
no_warmup,36,hidden,5,0.0011490140344310024,1.311738592535566e-05,1.1959229450876725,0.03658236275028502
no_warmup,36,hidden_norm,5,0.0001026579443060082,4.0237512619241126e-06,0.10512824178767169,0.00605135386363191
no_warmup,36,input,5,0.0004153180542703842,9.336250305446075e-06,0.6516017582242377,0.026979175548411803
no_warmup,36,output,5,0.0012560350703551605,2.0377716304170382e-05,1.5748934462428736,0.037429621664851746
no_warmup,36,output_norm,5,0.00010253388977315807,4.370630582205384e-06,0.12559771213268653,0.015085079532105902
no_warmup,37,hidden,5,0.0011406666853786816,1.4326475846938114e-05,1.17861201108254,0.047854893765076775
no_warmup,37,hidden_norm,5,0.00010203768083929508,3.9541247234081614e-06,0.09967987928357414,0.006387785011079494
no_warmup,37,input,5,0.00041269265239499457,8.27386507620234e-06,0.6393171968910464,0.015126613011693874
no_warmup,37,output,5,0.001247138430745956,2.030718801081676e-05,1.5440639818765054,0.06134927114971506
no_warmup,37,output_norm,5,0.00010257395443931752,4.690128750929937e-06,0.12515742815005998,0.010540453045580746
no_warmup,38,hidden,5,0.001135775271159247,1.2734080591981223e-05,1.210798896934549,0.04802970151992722
no_warmup,38,hidden_norm,5,0.00010103375280743586,3.828506629376854e-06,0.10545773818784102,0.008678439714292847
no_warmup,38,input,5,0.00041092702105977676,6.761441808131885e-06,0.6621744039601223,0.018614085374804308
no_warmup,38,output,5,0.001242504793399625,1.9897673792230434e-05,1.5807700907793814,0.08030439025280646
no_warmup,38,output_norm,5,0.00010018449335337774,4.13643272936386e-06,0.12796387344380583,0.013547389647050403
no_warmup,39,hidden,5,0.001129781056583991,9.958336696655632e-06,1.179731459718947,0.06464098426697698
no_warmup,39,hidden_norm,5,0.0001008213879541372,4.160601106092076e-06,0.10420263367436963,0.011732573872653437
no_warmup,39,input,5,0.0004086436133387452,8.08738351412735e-06,0.6352379777923292,0.03966063221348664
no_warmup,39,output,5,0.0012367060020176033,2.6549798664113122e-05,1.536875939375965,0.09440679438842675
no_warmup,39,output_norm,5,9.934757397978477e-05,5.313133545865895e-06,0.12285665793491411,0.02178284133787962
no_warmup,40,hidden,5,0.00112496710740036,9.853355689078512e-06,1.1983800069661705,0.05990902333300448
